                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6203,                 2.9988,                 1.8609,                0.00364,                0.31144,                0.00285,                0.00103,                 2.4606,                    inf,                 4.0027,             0.00036262,             0.00036262,             0.00036262
                      2,                 1.9596,                 3.0787,                 2.1045,                0.00182,                0.25452,                0.00131,                0.00032,                 3.3282,                    inf,                 24.738,             0.00073224,             0.00073224,             0.00073224
                      3,                 2.0527,                 2.9935,                 2.1907,                0.00182,                0.25452,                0.00131,                0.00032,                    nan,                    nan,                    nan,               0.001099,               0.001099,               0.001099
                      4,                 1.9694,                 2.8713,                  2.151,                0.00585,                0.50759,                0.00427,                0.00111,                 3.2094,                 28.376,                 5.0823,              0.0011013,              0.0011013,              0.0011013
                      5,                 1.9098,                 2.7444,                 2.0915,                0.23941,                0.25277,                0.03795,                0.01416,                 2.6864,                 47.107,                 3.5449,              0.0011013,              0.0011013,              0.0011013
                      6,                 1.8588,                 2.6699,                 2.0984,                 0.2712,                0.06638,                0.04002,                 0.0179,                 2.9137,                 6.1955,                 3.5038,              0.0010937,              0.0010937,              0.0010937
                      7,                  1.805,                 2.5162,                  2.016,                0.50277,                0.17869,                0.18079,                0.08711,                 2.4036,                 5.6072,                 2.9849,              0.0010841,              0.0010841,              0.0010841
                      8,                 1.7555,                 2.4712,                  1.942,                 0.6517,                0.16126,                0.19005,                0.10334,                 2.2335,                 3.8457,                 2.8697,              0.0010724,              0.0010724,              0.0010724
                      9,                 1.7167,                 2.3767,                 1.9219,                 0.4996,                0.31139,                0.30203,                0.15813,                 2.4425,                 3.2743,                 2.8496,              0.0010587,              0.0010587,              0.0010587
                     10,                  1.656,                 2.2944,                 1.8797,                0.33889,                0.39884,                0.23876,                0.14176,                 2.2575,                 3.2413,                  2.633,               0.001043,               0.001043,               0.001043
                     11,                 1.6467,                 2.2428,                 1.8796,                0.64742,                0.27388,                0.31399,                0.18509,                 2.3584,                 3.4122,                 2.7147,              0.0010254,              0.0010254,              0.0010254
                     12,                 1.6248,                  2.164,                 1.8779,                0.50725,                0.41531,                0.34649,                0.19348,                  2.267,                 3.4529,                 2.6705,               0.001006,               0.001006,               0.001006
                     13,                  1.576,                  2.128,                 1.8053,                0.52071,                0.19073,                0.27278,                0.14659,                 2.0852,                  2.859,                 2.4947,             0.00098479,             0.00098479,             0.00098479
                     14,                 1.5659,                 2.0669,                 1.8139,                0.55753,                0.37159,                0.38146,                0.22838,                 2.0229,                 2.6962,                 2.4449,             0.00096195,             0.00096195,             0.00096195
                     15,                 1.5471,                 2.0305,                 1.8082,                0.64965,                0.26118,                 0.3535,                0.16899,                 2.0708,                 2.9035,                  2.417,             0.00093752,             0.00093752,             0.00093752
                     16,                 1.5536,                 1.9926,                 1.8204,                0.54539,                0.44324,                0.44509,                0.25762,                 2.0135,                 2.9613,                 2.4009,              0.0009116,              0.0009116,              0.0009116
                     17,                 1.5516,                 1.9333,                 1.7522,                0.45614,                0.39693,                0.42718,                0.24851,                 1.9139,                 2.7064,                 2.3653,              0.0008843,              0.0008843,              0.0008843
                     18,                 1.5271,                 1.9091,                 1.7514,                0.43185,                0.46239,                0.44675,                0.26567,                 1.9102,                 2.5579,                 2.3257,             0.00085573,             0.00085573,             0.00085573
                     19,                 1.5394,                 1.9065,                 1.7921,                0.62048,                0.38675,                0.41163,                0.22238,                 1.9488,                  2.519,                 2.3145,             0.00082599,             0.00082599,             0.00082599
                     20,                 1.4664,                 1.8433,                 1.7338,                0.70508,                0.45888,                0.52809,                0.30334,                 2.0334,                 2.6334,                 2.4041,             0.00079521,             0.00079521,             0.00079521
